SeniorCitizen,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Total_Services,Is_Solo,Is_Auto_Pay,Short_Contract,Charge_Spike
0,1,DSL,No,Yes,No,No,No,No,Yes,Electronic check,29.85,29.85,0,1,0,0,1,0.029820179820177373
0,34,DSL,Yes,No,Yes,No,No,No,No,Mailed check,56.95,1889.5,0,2,1,0,0,1.3781050557336556
0,2,DSL,Yes,Yes,No,No,No,No,Yes,Mailed check,53.85,108.15,1,2,1,0,1,-0.19797601199400816
0,45,DSL,Yes,No,Yes,Yes,No,No,No,Bank transfer (automatic),42.3,1840.75,0,3,1,1,0,1.395353436590291
0,2,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,70.7,151.65,1,0,1,0,1,-5.087106446776616
0,8,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,99.65,820.5,1,3,1,0,1,-2.8996812898387674
0,22,Fiber optic,No,Yes,No,No,Yes,No,Yes,Credit card (automatic),89.1,1949.4,0,2,0,1,1,0.4949365937911807
0,10,DSL,Yes,No,No,No,No,No,No,Mailed check,29.75,301.9,0,1,1,0,1,-0.4369813018698139
0,28,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,104.8,3046.05,1,4,0,0,1,-3.983614870897469
0,62,DSL,Yes,Yes,No,No,No,No,No,Bank transfer (automatic),56.15,3487.95,0,2,0,1,0,-0.10635070402090463
0,13,DSL,Yes,No,No,No,No,No,Yes,Mailed check,49.95,587.45,0,1,0,0,1,4.765014229674641
0,16,No,No,No,No,No,No,No,No,Credit card (automatic),18.95,326.8,0,0,1,1,0,-1.4737235172801704
0,58,Fiber optic,No,No,Yes,No,Yes,Yes,No,Credit card (automatic),100.35,5681.1,0,3,0,1,0,2.4016887639868116
0,49,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),103.7,5036.3,1,4,1,1,1,0.9204648884716562
0,25,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Electronic check,105.5,2686.05,0,5,1,0,1,-1.9377024919003247
0,69,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),113.25,7895.15,0,6,0,1,0,-1.170805495572509
0,52,No,No,No,No,No,No,No,No,Mailed check,20.65,1022.95,0,0,1,0,0,0.9782629180208033
0,71,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Bank transfer (automatic),106.7,7382.25,0,4,0,1,0,2.726112308277365
0,10,DSL,No,No,Yes,Yes,No,No,No,Credit card (automatic),55.2,528.35,1,2,0,1,1,2.370282971702828
0,21,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Electronic check,90.05,1862.9,0,3,1,0,1,1.3447002523689378
1,1,DSL,No,No,Yes,No,No,Yes,Yes,Electronic check,39.65,39.65,1,2,1,0,1,0.0396103896103881
0,12,No,No,No,No,No,No,No,No,Bank transfer (automatic),19.8,202.25,0,0,0,1,0,2.9472377301891513
0,1,No,No,No,No,No,No,No,No,Mailed check,20.15,20.15,1,0,1,0,1,0.020129870129867555
0,58,DSL,No,Yes,No,Yes,No,No,Yes,Credit card (automatic),59.9,3505.1,0,2,0,1,0,-0.5317166945397531
0,49,DSL,Yes,Yes,No,Yes,No,No,No,Credit card (automatic),59.6,2970.3,0,3,0,1,1,-1.0171302626477043
0,30,DSL,Yes,Yes,No,No,No,No,Yes,Bank transfer (automatic),55.3,1530.6,0,2,1,1,1,4.281700609979673
0,47,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,99.35,4749.15,1,3,0,0,1,-1.6935948171315545
